sa1,urban_liveability_index,c_dwelling_density_1600m_per_sqkm,c_street_connectivity_1600m_per_sqkm,c_access_large_public_open_space,c_sa1_prop_affordablehousing,c_sa2_prop_live_work_sa3,c_access_community_culture_leisure,c_access_early_years,c_access_education,c_access_health_services,c_access_sport_rec,c_access_food,c_access_convenience,c_access_busstop2012_400m,c_access_tramstops2012_600m,c_access_trainstations2012_800m,raw_dwelling_density_1600m_per_sqkm,raw_street_connectivity_1600m_per_sqkm,raw_access_large_public_open_space,raw_sa1_prop_affordablehousing,raw_sa2_prop_live_work_sa3,raw_access_community_culture_leisure,raw_access_early_years,raw_access_education,raw_access_health_services,raw_access_sport_rec,raw_access_food,raw_access_convenience,raw_access_busstop2012_400m,raw_access_tramstops2012_600m,raw_access_trainstations2012_800m
2110501,105.44407,119.6861133,104.3735154,96.44651201,119.090921,87.21791242,92.55677839,109.6834258,99.80566688,119.663391,102.1363568,112.71258,109.5232307,101.0280828,127.6180539,98.02122414,23.48178367,76.59750789,0.340485245,0.266666667,0.132167612,0.105997712,0.925177875,0.557020267,0.929587072,0.433355667,0.904061891,0.734127372,0.630007812,0.93488237,0.072476933
2110502,107.2710536,121.4927769,110.4809733,87.92201605,102.3671218,87.21791242,99.63288475,110.6348897,110.5370139,119.3425967,96.16541665,114.596674,110.78199,108.6576837,125.2511982,122.807154,24.36571397,86.95459713,0.00014612,0.130434783,0.132167612,0.263314995,0.95104708,0.84140549,0.921109954,0.297605934,0.961011618,0.771434775,0.914829846,0.865055946,0.715262496
2110503,106.0428095,122.1062073,110.3609104,87.99278209,105.7381004,87.21791242,95.36727885,110.876872,106.7688221,120.1379097,97.08666981,113.4394643,112.8812327,108.6286542,120.9465043,107.3516357,24.68400313,86.75099317,0.002971443,0.157894737,0.132167612,0.168481269,0.957626302,0.741546819,0.94212642,0.318550688,0.926033119,0.833652619,0.913746141,0.73805987,0.304940757
2110504,106.9955321,121.5239242,111.3651453,90.29788473,105.7381004,87.21791242,97.66986723,108.824439,108.8953477,119.8157447,105.3633724,113.458394,117.1561083,109.1721441,128.3184632,97.30398678,24.3809531,88.45398491,0.095002294,0.157894737,0.132167612,0.219672833,0.901823012,0.797900644,0.933613081,0.506722088,0.926605299,0.96035238,0.934035264,0.955545682,0.054607224
2110505,106.502868,121.0295838,111.6901251,88.03388825,98.33153975,87.21791242,99.74409888,109.5575347,109.6060844,118.583513,105.146517,113.6088142,114.2928011,108.8399623,122.4951482,104.639403,24.13909156,89.00508904,0.0046126,0.097560976,0.132167612,0.265787528,0.921755038,0.816735468,0.901050864,0.501791866,0.931151989,0.875489015,0.921634525,0.783747601,0.237366461
2110506,108.3326235,123.1790486,111.1382405,87.9448263,93.47148393,87.21791242,109.211814,109.4296979,110.4934693,117.8685932,106.9841227,115.0975564,112.864434,109.4580961,127.6285323,121.9518577,25.2865881,88.06919757,0.001056816,0.057971014,0.132167612,0.476275492,0.918279305,0.840251542,0.882158822,0.543569957,0.976151583,0.833154736,0.944710191,0.935191503,0.690840021
2110507,108.5379015,123.7632327,112.0803729,88.23931804,99.27705813,87.21791242,110.9498469,106.2336562,107.9025694,118.6782022,113.7554004,114.1367867,112.1942187,106.4420852,125.1343521,118.894115,25.85453204,89.66687512,0.012814351,0.105263158,0.132167612,0.515153459,0.831382609,0.7715916,0.903553064,0.697515418,0.947110795,0.81329074,0.832118934,0.861608778,0.605860858
2110508,107.7077373,121.8273352,112.531694,95.22510131,104.9549437,87.21791242,101.1897471,106.9778796,109.4320908,118.2633688,109.8173937,113.8743344,114.2893374,105.5928529,127.4369847,101.3601212,24.52940033,90.43223006,0.29172062,0.151515152,0.132167612,0.297927441,0.851617186,0.812124564,0.892590926,0.607984565,0.93917776,0.875386356,0.800416085,0.929540509,0.155664344
2110509,107.6647024,124.2691495,112.0665795,88.26516446,86.35497363,87.21791242,118.7595321,105.1507088,105.561308,119.7640309,116.9202847,114.3291319,109.8888201,100.9437557,125.6971899,123.925406,26.06887526,89.64348429,0.013846266,0,0.132167612,0.6933346,0.801938518,0.709547185,0.932246522,0.76946928,0.952924735,0.744962796,0.626859784,0.878213491,0.750484742
2110510,106.5289719,123.6056835,113.0824938,94.58441928,96.30847115,87.21791242,106.6149291,102.0828162,108.2773047,117.9034151,112.7697021,113.7712087,112.8104413,96.86901839,123.6344308,105.2300766,25.67833946,91.36628201,0.266141493,0.081081081,0.132167612,0.418541075,0.718526049,0.781522245,0.883079006,0.6751055,0.936060621,0.831554489,0.474745017,0.81735845,0.252082882
